ProgramSection,ProgramSubSection,Activity,AgeGroup,Location,CourseCode,CourseComments,CourseDayofWeek,CourseDate,CourseTime
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166171,,Wed,Jul 2-Aug 27,6:30-7 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166177,No class Aug 4    Lap pool not available Level 3 or lower,Mon,Jun 30-Aug 25,5:30-6 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166178,No class Aug 4    Lap pool not available Level 3 or lower,Mon,Jun 30-Aug 25,6-6:30 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166181,No class Aug 4,Mon,Jun 30-Aug 25,7-7:30 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166182,No class Aug 4,Mon,Jun 30-Aug 25,7:30-8 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166183,,Fri,Jul 4-Aug 22,4-4:30 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166184,,Fri,Jul 4-Aug 22,4:30-5 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166185,,Fri,Jul 4-Aug 22,5-5:30 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166186,,Fri,Jul 4-Aug 22,4:15-4:45 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166187,,Fri,Jul 4-Aug 22,4:15-4:45 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166188,,Fri,Jul 4-Aug 22,4:45-5:15 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166189,,Fri,Jul 4-Aug 22,4:45-5:15 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166190,Lap Pool not available for half the class.  Level 3 and lower recommended,Fri,Jul 4-Aug 22,5:15-5:45 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166191,Lap Pool not available for half the class.  Level 3 and lower recommended,Fri,Jul 4-Aug 22,5:15-5:45 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166192,"Lap Pool not available, Level 3 and lower recommended",Fri,Jul 4-Aug 22,5:45-6:15 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166193,"Lap Pool not available, Level 3 and lower recommended",Fri,Jul 4-Aug 22,5:45-6:15 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-99 years,West End Community Centre,166199,,Tue,Jul 8-Aug 26,6:30-7 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-99 years,West End Community Centre,166200,,Tue,Jul 8-Aug 26,4:30-5 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-99 years,West End Community Centre,166201,,Tue,Jul 8-Aug 26,5-5:30 p.m.
Aquatics,Preschool Aquatics,RC Sea Otter,3-6 years,West End Community Centre,166239,,Tue,Jul 8-Aug 26,5:30-6 p.m.
Aquatics,Preschool Aquatics,RC Sea Otter,3-6 years,West End Community Centre,166240,,Wed,Jul 2-Aug 27,5-5:30 p.m.
Aquatics,Preschool Aquatics,RC Sunfish,3-6 years,West End Community Centre,166261,Combined iwth Salamander,Tue,Jul 8-Aug 26,7:30-8 p.m.
Aquatics,Preschool Aquatics,RC Sunfish,3-6 years,West End Community Centre,166264,Combined with Salamander,Tue,Jul 8-Aug 26,5:30-6 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids  1,5-12 years,West End Community Centre,166272,Combined with Swim Kids 2,Tue,Jul 8-Aug 26,6:30-7 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids  1,5-12 years,West End Community Centre,166273,Combined with Swim Kids 2,Wed,Jul 2-Aug 27,6:30-7 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids  1,5-12 years,West End Community Centre,166275,Combined with Swim Kids 2,Tue,Jul 8-Aug 26,5-5:30 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 10,6-12 years,West End Community Centre,166280,Combined with Swim Kids 9,Wed,Jul 2-Aug 27,7:15-8:15 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 10,6-12 years,West End Community Centre,166281,Combined with Swim Kids 9,Thu,Jul 3-Aug 28,4-5 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 10,6-12 years,West End Community Centre,166284,Combined with Swim Kids 9,Thu/Tue,Jul3-31,7-8 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 10,6-12 years,West End Community Centre,166285,Combined with Swim Kids 9,Tue,Jul 8-Aug 26,4-5 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 2,5-13 years,West End Community Centre,166293,Combined with Swim Kids 1,Tue,Jul 8-Aug 26,5-5:30 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 3,5-12 years,West End Community Centre,166300,Combined with Swim Kids 4,Tue,Jul 8-Aug 26,6-6:30 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 3,5-12 years,West End Community Centre,166301,Combined with Swim Kids 4,Tue,Jul 8-Aug 26,4:30-5 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 4,5-12 years,West End Community Centre,166309,Combined with Swim Kids 3,Tue,Jul 8-Aug 26,6-6:30 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 4,5-12 years,West End Community Centre,166314,Combined with Swim Kids 3,Thu/Tue,Jul3-31,7:30-8 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 5,6-12 years,West End Community Centre,166319,Combined with Swim Kids 6,Tue,Jul 8-Aug 26,6-6:45 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 6,6-12 years,West End Community Centre,166326,Combined with Swim Kids 5,Tue,Jul 8-Aug 26,6-6:45 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 7,6-12 years,West End Community Centre,166334,Combined with Swim Kids 8,Tue,Jul 8-Aug 26,5-6 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 8,6-12 years,West End Community Centre,166336,Combined with Swim Kids 7,Tue,Jul 8-Aug 26,5-6 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 9,6-12 years,West End Community Centre,166345,Combined with Swim Kids 10,Tue,Jul 8-Aug 26,4-5 p.m.
Aquatics,Specialty Aquatics,RC Teen Swim Basics 1,12-18 years,West End Community Centre,166346,Leisure Pool only.,Tue,Jul 8-Aug 26,8-8:45 p.m.
Aquatics,Preschool Aquatics,RC Whale,3-6 years,West End Community Centre,166350,Combined with Crocodile,Tue,Jul 8-Aug 26,6:30-7 p.m.
Aquatics,Preschool Aquatics,RC Whale,3-6 years,West End Community Centre,166354,Combined with Crocodile,Tue,Jul 8-Aug 26,4:30-5 p.m.
Aquatics,Preschool Aquatics,Sea Lion,32mos-5 years,West End Community Centre,166360,,Tue,Jul 8-Aug 26,7-7:30 p.m.
Aquatics,Advanced Leadership,Bronze Cross - VRRC,13+ years,Victoria Road Recreation Centre,166378,Course Hours: 10 - 12:30 pm  Exam Aug 22; 9 am - noon,Mon-Fri,Aug11-22,10-11:30 a.m.
Aquatics,Advanced Leadership,Bronze Medallion & Emergency First Aid - VRRC,13+ years,Victoria Road Recreation Centre,166379,Course hours: 9:45 am - 1 pm  No class Jul 1,Mon-Fri,Jun 30-Jul 11,9:45-11:30 a.m.
Aquatics,Advanced Leadership,Bronze Medallion & Emergency First Aid - VRRC,13+ years,Victoria Road Recreation Centre,166380,Course hours: 9:45 am - 1 pm  No class Aug 4,Mon-Fri,Jul 28-Aug 8,9:45-11:30 a.m.
Aquatics,Advanced Leadership,Bronze Star,11+ years,West End Community Centre,166381,,Mon-Fri,Jul14-24,10:30-11:45 a.m.
Aquatics,Advanced Leadership,Bronze Star,11+ years,West End Community Centre,166382,,Mon-Fri,Aug11-21,10:30-11:45 a.m.
Aquatics,Advanced Leadership,Bronze Star,11+ years,Victoria Road Recreation Centre,166383,,Mon-Fri,Jul14-24,9:15-10:30 a.m.
Aquatics,Advanced Leadership,Bronze Star,11+ years,Victoria Road Recreation Centre,166384,,Mon-Fri,Aug11-21,9:15-10:30 a.m.
Aquatics,Schoolage Aquatics,Canadian Swim Patrol - Ranger,6-13 years,West End Community Centre,166385,Combined with Rookie & Star,Mon-Fri,Jul14-24,10:30-11:30 a.m.
Aquatics,Schoolage Aquatics,Canadian Swim Patrol - Ranger,6-13 years,West End Community Centre,166386,Combined with Rookie & Star,Mon-Fri,Aug11-21,10:30-11:30 a.m.
